test,swimming front crawl,4O7BakbzqRE.mp4,6,33,8
test,swimming front crawl,4uJOpRiskYg.mp4,4,33,8
test,swimming front crawl,5hlkIMEqstk.mp4,10,33,8
test,swimming front crawl,5Q5h1GHidGU.mp4,2,33,8
test,swimming front crawl,8knXNRIJOMI.mp4,6,33,8
test,swimming front crawl,9rL8CtFFyIw.mp4,8,33,8
test,swimming front crawl,sPnvCUTYe1w.mp4,8,33,8
test,swimming front crawl,t5w8M2yyElM.mp4,12,33,8
test,swimming front crawl,w-jXPiHEIVw.mp4,4,33,8
test,swimming front crawl,_hKtDp9F5Bw.mp4,8,33,8
test,swimming front crawl,_zypTZtS9og.mp4,4,33,8
test,swimming butterfly stroke,-h-caDqncrY.mp4,6,33,8
test,swimming butterfly stroke,0s3dI9DaQUY.mp4,12,33,8
test,swimming butterfly stroke,33Sb5clX1kU.mp4,4,33,8
test,swimming butterfly stroke,3friRMnoE9o.mp4,6,33,8
test,swimming butterfly stroke,4ajQQQnSKQ0.mp4,14,33,8
test,swimming butterfly stroke,4lgbJKPMo3Y.mp4,4,33,8
test,swimming butterfly stroke,5LlwPLP6ELg.mp4,10,33,8
test,swimming butterfly stroke,6RwlNXtj6PU.mp4,6,33,8
test,swimming butterfly stroke,t_6JzUOAYeA.mp4,6,33,8
test,swimming butterfly stroke,x3-Qj4EQThQ.mp4,4,33,8
test,spinning poi,3nK-TGuLauY.mp4,2,33,8
test,spinning poi,ctmoyV99FVs.mp4,2,33,8
test,spinning poi,EjlPF9MMVwc.mp4,14,33,8
test,spinning poi,FBMoSC853NU.mp4,12,33,8
test,spinning poi,pCL97uRSlJE.mp4,14,33,8
test,spinning poi,SdiJwP0_fqg.mp4,2,33,8
test,slicing onion,iBX4iKPpSK0.mp4,18,33,8
test,slicing onion,iSlQpbAQ66M.mp4,2,33,8
test,slicing onion,jegH3kB3DNs.mp4,2,33,8
test,slicing onion,jMKGwCkjWs0.mp4,10,33,8
test,slicing onion,lTJshoxjeUw.mp4,6,33,8
test,slicing onion,ncZKWOhFMXk.mp4,10,33,8
test,slicing onion,r971Ff8NjJo.mp4,6,33,8
test,slicing onion,sY6runQjXlo.mp4,2,33,8
test,slicing onion,vP_tOucWxr4.mp4,6,33,8
test,slicing onion,xZyluVs0ojg.mp4,14,33,8
test,slicing onion,yvHh3-ObAEI.mp4,4,33,8
test,skipping rope,1NIDUPARiFk.mp4,4,33,8
test,skipping rope,3b4q6_44RwM.mp4,6,33,8
test,skipping rope,4d54ERSroPE.mp4,30,33,8
test,skipping rope,5Png8tylSDk.mp4,12,33,8
test,skipping rope,8Y1gaZD8H6c.mp4,4,33,8
test,skipping rope,_PDgqk9JEdg.mp4,28,33,8
